"Designator","Comment","Layer","Footprint","Mid X","Mid Y","Rotation","Description"
"D221","RCLAMP0521P-N","Top","D_0402","1.2000","5.2000","90","Diode TVS / ESD 0402"
"Y200","16MHz","Top","XTAL_3225","-14.8540","6.6290","180","Crystal SMD 24MHz 10PPM 7pF 3225"
"U301","SPL06-001","Top","FP-BMP280-MFG","-3.6000","-14.4500","90","SENSOR PRESSURE ABS"
"U300","MPU-6050","Top","IS-QFN-24_V","-12.2500","13.5000","180","3-Axis Gyroscope, Accelerometer and a Digital Motion Processor(TM) (DMP), 2.375 to 3.46 V, -40 to 85 degC, 24-Pin QFN, RoHS, Tape and Reel"
"U200","STM32F411CEU6","Top","STM-UFQFPN48_L","-6.6200","2.8070","270","ARM Cortex-M4 32-bit MCU+FPU, 512 KB Flash, 128 KB RAM, 36 I/Os, 48-Pin UFQFPN, -40 to 85 degC, Tray"
"U100","MIC5219-3.3YM5-TR","Top","FP-SOT23-5LD-PL-1-IPC_A","4.0000","-13.0000","270","IC REG LINEAR 3.3V 500MA SOT23-5"
"R301","10k","Top","RES_0402","-4.8500","-12.2000","180","Resistor SMD 0402"
"R300","10k","Top","RES_0402","-0.8500","-14.7000","90","Resistor SMD 0402"
"R221","22R","Top","RES_0402","-8.1000","-12.2000","0","Resistor SMD 0402"
"R220","22R","Top","RES_0402","-8.1000","-10.6000","0","Resistor SMD 0402"
"R219","22R","Top","RES_0402","-5.8000","-8.8000","0","Resistor SMD 0402"
"R218","22R","Top","RES_0402","-5.8000","-7.5000","0","Resistor SMD 0402"
"R217","1M","Top","RES_0402","1.2000","8.0000","90","Resistor SMD 0402"
"R216","22R","Top","RES_0402","5.3000","-3.1000","180","Resistor SMD 0402"
"R215","10k","Top","RES_0402","8.0000","15.4000","90","Resistor SMD 0402"
"R214","10k","Top","RES_0402","11.3000","15.4000","90","Resistor SMD 0402"
"R213","10k","Top","RES_0402","10.9000","-3.1000","180","Resistor SMD 0402"
"R212","10k","Top","RES_0402","8.1000","-3.1000","180","Resistor SMD 0402"
"R211","10k","Top","RES_0402","4.7000","15.4000","90","Resistor SMD 0402"
"R210","22R","Top","RES_0402","2.2000","16.1000","270","Resistor SMD 0402"
"R209","22R","Top","RES_0402","-4.6000","8.0000","90","Resistor SMD 0402"
"R208","22R","Top","RES_0402","-3.2000","8.0000","90","Resistor SMD 0402"
"R207","22R","Top","RES_0402","-0.7000","6.1000","90","Resistor SMD 0402"
"R206","1k","Top","RES_0402","-2.4000","-6.9000","90","Resistor SMD 0402"
"R204","2k2","Top","RES_0402","-1.4000","-10.6000","0","Resistor SMD 0402"
